Trade ID,Trade Type,SubType,Status,Customer,Trade Date,Broker,Ccy,Amended Date,Start Date,Maturity Date,Description,Ccy Pair,Notional,Trade Entry Date,Buy / Sell,Put / Call,Strike,Equity Id,Portfolio,CE Type,Credit Entity,Purchase / Sale,Red Pair,Traded Spread,ClientRefID,Trade State,Fwd Price,Return Leg Price,Funding Leg Index,Funding Leg Rate,Funding Leg Spread,Leg2 Notional,Leg2 Ccy,FX Rate,Leg1 Index,Leg1 Rate,Leg1 Spread,Leg2 Index,Leg2 Rate,Leg2 Spread,Counterparty Trade Ref.ID,GTM Reference ID,Executing Broker,ID1,ID2,OMS ID,SEF ID,USI Issuer_USI Trade ID,Legal Entity,Accounting System ID,Version,IM Type,IM Amount,Equity Market Price,Stub Rate,Unit,Final Payment Date,CE Description,Expiry,Style,Premium CCY,Premium Amount,Premium Settle Date
409613,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 15:33,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,1000000,5/13/2019,,,0,,9752,Singlename,CVSHEA,P,138CBK,100,77015408,Part Terminated,0,,,0,0,0,,0,,0,0,,0,0,,a7bbff6286ff11e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,2,,,,0,0,,CVS Health Corp,,,,0,
409613,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,5/13/2019,,USD,6/4/2019 15:43,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9752,Singlename,CVSHEA,P,138CBK,100,77015408,Undo Partial Termination,0,,,0,0,0,,0,,0,0,,0,0,,291ccba475a311e9824d0a4428260000,,generatedbyCSM,1880563535,,,,TROWUS33XXX,,3,,,,0,0,,CVS Health Corp,,,,0,
409613,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 15:48,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,1000000,5/13/2019,,,0,,9752,Singlename,CVSHEA,P,138CBK,100,77015408,Part Terminated,0,,,0,0,0,,0,,0,0,,0,0,,bac06e20870111e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,4,,,,0,0,,CVS Health Corp,,,,0,
409613,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 15:53,3/20/2019,6/4/2019,B SN_CDS / Single Name CDS,,1500000,5/13/2019,,,0,,9752,Singlename,CVSHEA,P,138CBK,100,77015408,Terminated,0,,,0,0,0,,0,,0,0,,0,0,,6bfe0972870211e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,5,,,,0,0,,CVS Health Corp,,,,0,
409613,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 16:08,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,1000000,5/13/2019,,,0,,9752,Singlename,CVSHEA,P,138CBK,100,77015408,Undo Partial Termination,0,,,0,0,0,,0,,0,0,,0,0,,bac06e20870111e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,6,,,,0,0,,CVS Health Corp,,,,0,
409613,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 16:14,3/20/2019,6/4/2019,B SN_CDS / Single Name CDS,,1500000,5/13/2019,,,0,,9752,Singlename,CVSHEA,P,138CBK,100,77015408,Terminated,0,,,0,0,0,,0,,0,0,,0,0,,3ee52788870511e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,7,,,,0,0,,CVS Health Corp,,,,0,
409614,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 15:33,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,1000000,5/13/2019,,,0,,70GB,Singlename,CVSHEA,P,138CBK,100,77015409,Part Terminated,0,,,0,0,0,,0,,0,0,,0,0,,a779873686ff11e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,2,,,,0,0,,CVS Health Corp,,,,0,
409614,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,5/13/2019,,USD,6/4/2019 15:43,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,70GB,Singlename,CVSHEA,P,138CBK,100,77015409,Undo Partial Termination,0,,,0,0,0,,0,,0,0,,0,0,,2962a4ee75a311e9824d0a4428260000,,generatedbyCSM,1880563535,,,,TROWUS33XXX,,3,,,,0,0,,CVS Health Corp,,,,0,
409614,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 15:48,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,1000000,5/13/2019,,,0,,70GB,Singlename,CVSHEA,P,138CBK,100,77015409,Part Terminated,0,,,0,0,0,,0,,0,0,,0,0,,ba80cdb0870111e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,4,,,,0,0,,CVS Health Corp,,,,0,
409614,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,6/4/2019,,USD,6/4/2019 15:53,3/20/2019,6/4/2019,B SN_CDS / Single Name CDS,,1500000,5/13/2019,,,0,,70GB,Singlename,CVSHEA,P,138CBK,100,77015409,Terminated,0,,,0,0,0,,0,,0,0,,0,0,,6bbc1044870211e9b39b0a4428260000,,,1880563535,,,,TROWUS33XXX,,5,,,,0,0,,CVS Health Corp,,,,0,
